Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Price,City,,,
1001,2025-01-13,C136,Phone,Electronics,2,30000,Mumbai,,,
1002,2025-02-22,C170,Tablet,Electronics,1,22000,Hyderabad,,,
1003,2025-01-17,C104,Headphones,Accessories,1,2500,Mumbai,,,
1004,2025-09-16,C178,Monitor,Electronics,1,15000,Hyderabad,,,
1005,2025-11-29,C170,Monitor,Electronics,4,15000,Mumbai,,,
1006,2025-10-29,C136,Webcam,Accessories,1,3500,Kolkata,,,
1007,2025-12-24,C155,Tablet,Electronics,3,22000,Delhi,,,
1008,2025-04-21,C144,Tablet,Electronics,1,22000,Chennai,,,
1009,2025-02-19,C146,Headphones,Accessories,3,2500,Hyderabad,,,
1010,2025-01-23,C159,Keyboard,Accessories,5,1800,Chennai,,,
1011,2025-02-10,C171,Headphones,Accessories,3,2500,Kolkata,,,
1012,2025-07-05,C174,Desk,Furniture,2,9000,Pune,,,
1013,2025-01-24,C130,Phone,Electronics,3,30000,Chennai,,,
1014,2025-02-21,C149,Monitor,Electronics,3,15000,Bangalore,,,0
1015,2025-03-25,C148,Mouse,Accessories,3,800,Mumbai,,,
1016,2025-12-26,C110,Keyboard,Accessories,5,1800,Pune,,,
1017,2025-10-01,C132,Tablet,Electronics,2,22000,Bangalore,,,
1018,2025-05-19,C172,Headphones,Accessories,2,2500,Pune,,,
1019,2025-01-29,C130,Mouse,Accessories,1,800,Kolkata,,,
1020,2025-07-25,C135,Mouse,Accessories,1,800,Mumbai,,,
1021,2025-06-11,C128,Desk,Furniture,4,9000,Bangalore,,,
1022,2025-03-15,C134,Webcam,Accessories,2,3500,Mumbai,,,
1023,2025-10-03,C134,Office Chair,Furniture,5,12000,Bangalore,,,
1024,2025-07-24,C147,Desk,Furniture,2,9000,Mumbai,,,
1025,2025-09-10,C112,Office Chair,Furniture,1,12000,UNKNOWN,,,
1026,2025-03-20,C121,Phone,Electronics,4,30000,Hyderabad,,,
1027,2025-07-17,C149,Phone,Electronics,5,30000,Bangalore,,,
1028,2025-05-09,C171,Office Chair,Furniture,1,12000,Pune,,,
1029,2025-12-16,C169,Phone,Electronics,3,30000,Kolkata,,,
1030,2025-02-27,C138,Mouse,Accessories,4,800,Mumbai,,,
1031,2025-01-02,C134,Webcam,Accessories,5,3500,Kolkata,,,
1032,2025-09-17,C114,Tablet,Electronics,3,22000,Kolkata,,,
1033,2025-11-08,C126,Office Chair,Furniture,2,12000,Delhi,,,
1034,2025-10-04,C168,Tablet,Electronics,1,22000,Hyderabad,,,
1035,2025-09-08,C103,Mouse,Accessories,1,800,Delhi,,,
1036,2025-05-03,C108,Keyboard,Accessories,2,1800,Hyderabad,,,
1037,2025-02-13,C163,Phone,Electronics,1,30000,Kolkata,,,
1038,2025-03-06,C117,Office Chair,Furniture,4,12000,Hyderabad,,,
1039,2025-05-16,C168,Tablet,Electronics,5,22000,Bangalore,,,
1040,2025-10-04,C126,Monitor,Electronics,3,15000,Bangalore,,,
1041,2025-08-13,C167,Mouse,Accessories,4,800,Chennai,,,
1042,2025-04-26,C109,Monitor,Electronics,3,15000,Chennai,,,
1043,2025-10-11,C130,Desk,Furniture,5,9000,Mumbai,,,
1044,2025-02-06,C108,Laptop,Electronics,2,60000,Chennai,,,
